LocationID,BRDYEAR,num_egg_masses,Watershed,County,complete_case,BRDYEAR_scaled
AC01,2023,0,Audubon Canyon,Marin,TRUE,1.1692446687512628
AC02,2023,0,Garden Club Canyon,Marin,TRUE,1.1692446687512628
EC01,2001,0,Easkoot Creek,Marin,TRUE,-2.201649164731131
EC01,2021,0,Easkoot Creek,Marin,TRUE,0.8627997747983179
EC02,2001,0,Easkoot Creek,Marin,TRUE,-2.201649164731131
KC01,2013,31,Kanoff Creek,San Mateo,TRUE,-0.36297980101346167
KC01,2014,28,Kanoff Creek,San Mateo,TRUE,-0.20975735403698922
KC01,2015,57,Kanoff Creek,San Mateo,TRUE,-0.056534907060516774
KC01,2016,29,Kanoff Creek,San Mateo,TRUE,0.09668753991595568
KC01,2017,34,Kanoff Creek,San Mateo,TRUE,0.24990998689242813
KC01,2018,88,Kanoff Creek,San Mateo,TRUE,0.4031324338689006
KC01,2019,39,Kanoff Creek,San Mateo,TRUE,0.556354880845373
KC01,2020,43,Kanoff Creek,San Mateo,TRUE,0.7095773278218455
KC01,2021,32,Kanoff Creek,San Mateo,TRUE,0.8627997747983179
KC01,2022,28,Kanoff Creek,San Mateo,TRUE,1.0160222217747903
KC01,2023,32,Kanoff Creek,San Mateo,TRUE,1.1692446687512628
KC01,2024,16,Kanoff Creek,San Mateo,TRUE,1.3224671157277352
KC02,2013,1,Kanoff Creek,San Mateo,TRUE,-0.36297980101346167
KC02,2015,0,Kanoff Creek,San Mateo,TRUE,-0.056534907060516774
KC02,2016,0,Kanoff Creek,San Mateo,TRUE,0.09668753991595568
KC02,2017,2,Kanoff Creek,San Mateo,TRUE,0.24990998689242813
KC02,2018,0,Kanoff Creek,San Mateo,TRUE,0.4031324338689006
KC02,2019,1,Kanoff Creek,San Mateo,TRUE,0.556354880845373
KC02,2020,0,Kanoff Creek,San Mateo,TRUE,0.7095773278218455
KC02,2021,0,Kanoff Creek,San Mateo,TRUE,0.8627997747983179
KC02,2022,0,Kanoff Creek,San Mateo,TRUE,1.0160222217747903
KC02,2023,0,Kanoff Creek,San Mateo,TRUE,1.1692446687512628
KC02,2024,0,Kanoff Creek,San Mateo,TRUE,1.3224671157277352
KC03,2013,0,Kanoff Creek,San Mateo,TRUE,-0.36297980101346167
KC03,2015,0,Kanoff Creek,San Mateo,TRUE,-0.056534907060516774
KC03,2016,0,Kanoff Creek,San Mateo,TRUE,0.09668753991595568
KC03,2017,6,Kanoff Creek,San Mateo,TRUE,0.24990998689242813
KC03,2018,0,Kanoff Creek,San Mateo,TRUE,0.4031324338689006
KC03,2019,0,Kanoff Creek,San Mateo,TRUE,0.556354880845373
KC03,2020,0,Kanoff Creek,San Mateo,TRUE,0.7095773278218455
KC03,2021,0,Kanoff Creek,San Mateo,TRUE,0.8627997747983179
KC03,2022,0,Kanoff Creek,San Mateo,TRUE,1.0160222217747903
KC03,2023,0,Kanoff Creek,San Mateo,TRUE,1.1692446687512628
KC03,2024,0,Kanoff Creek,San Mateo,TRUE,1.3224671157277352
KC04,2017,0,Kanoff Creek,San Mateo,TRUE,0.24990998689242813
KC04,2020,0,Kanoff Creek,San Mateo,TRUE,0.7095773278218455
LS01,2004,55,Laguna Salada,San Mateo,TRUE,-1.7419818238017137
